 (178.355147123337+0.000000000000j)  (5.759742694927+0.000000000000j)
 (179.159221887589+0.000000000000j)  (5.759742694927+0.000000000000j)
 (179.960926055908+0.000000000000j)  (5.759742694927-0.000000000000j)
 (180.890568494797+0.000000000000j)  (5.759742694927-0.000000000000j)
 (181.693966627121+0.000000000000j)  (5.759742694927-0.000000000000j)
 (182.501412868500+0.000000000000j)  (5.759742694927+0.000000000000j)
 (183.304111480713+0.000000000000j)  (5.759742694927+0.000000000000j)
 (184.126488208771+0.000000000000j)  (5.759742694927+0.000000000000j)
 (184.930472850800+0.000000000000j)  (5.759742694928-0.000000000000j)
 (185.841238737106+0.000000000000j)  (5.759742694927+0.000000000000j)
 (186.640697002411+0.000000000000j)  (5.759742694926-0.000000000000j)
 (187.440679073334+0.000000000000j)  (5.759742694927-0.000000000000j)
 (188.237107515335+0.000000000000j)  (5.759742694927+0.000000000000j)
 (189.052570343018+0.000000000000j)  (5.759742694927-0.000000000000j)
 (189.857911825180+0.000000000000j)  (5.759742694927-0.000000000000j)
 (190.777487516403+0.000000000000j)  (5.759742694926+0.000000000000j)
 (191.583568811417+0.000000000000j)  (5.759742694926-0.000000000000j)
 (192.377527713776+0.000000000000j)  (5.759742694927-0.000000000000j)
 (193.175949096680+0.000000000000j)  (5.759742694927+0.000000000000j)
 (193.989665508270+0.000000000000j)  (5.759742694927+0.000000000000j)
 (194.790064573288+0.000000000000j)  (5.759742694927+0.000000000000j)
 (195.716613769531+0.000000000000j)  (5.759742694927-0.000000000000j)
 (196.523705005646+0.000000000000j)  (5.759742694927-0.000000000000j)
 (197.326011896133+0.000000000000j)  (5.759742694927-0.000000000000j)
 (198.126497745514+0.000000000000j)  (5.759742694927-0.000000000000j)
 (198.930970430374+0.000000000000j)  (5.759742694927-0.000000000000j)
 (199.739509105682+0.000000000000j)  (5.759742694927-0.000000000000j)
 (200.696294784546+0.000000000000j)  (5.759742694927-0.000000000000j)
 (201.501300334930+0.000000000000j)  (5.759742694927-0.000000000000j)
